match,competition,date,position,minutes_played,total_actions,total_actions_sucessful,total_actions_percent,goals,assists,shots,shots_on_target,shots_percent,xG,passes,passes_accurate,passes_percent,long_passes,long_passes_accurate,long_passes_percent,crosses,crosses_accurate,crosses_percent,dribbles,dribbles_successful,dribbles_percent,duels,duels_won,duels_percent,aerial_duels,aerial_duels_won,aerial_duels_percent,interceptions,losses,losses_own_half,losses_percent,recoveries,recoveries_opp_half,recoveries_percent
Barcelona - Real Madrid 1:2,Spain. LaLiga,10/28/23,"LCMF, RCMF",98,83,66,80,0,0,1,1,100,0.02,62,58,94,1,0,0,0,0,0,0,0,0,8,5,63,1,0,0,2,6,1,17,10,3,30
Sporting Braga - Real Madrid 1:2,Europe. UEFA Champions League,10/24/23,LCMF,24,14,11,79,0,0,0,0,0,0,8,7,88,0,0,0,0,0,0,0,0,0,3,3,100,3,3,100,2,4,2,50,2,1,50
Sevilla - Real Madrid 1:1,Spain. LaLiga,10/21/23,DMF,70,33,29,88,0,0,0,0,0,0,30,28,93,0,0,0,1,0,0,0,0,0,2,1,50,2,1,50,0,3,0,0,3,3,100
Real Madrid - Osasuna 4:0,Spain. LaLiga,10/7/23,RCB,94,99,89,90,0,0,0,0,0,0,85,82,96,9,8,89,1,0,0,0,0,0,9,6,67,3,2,67,2,2,1,50,9,3,33
Napoli - Real Madrid 2:3,Europe. UEFA Champions League,10/3/23,"DMF, LCMF",96,81,68,84,0,0,2,0,0,0.14,63,60,95,0,0,0,1,1,100,0,0,0,11,8,73,7,7,100,3,6,2,33,5,3,60
Girona - Real Madrid 0:3,Spain. LaLiga,9/30/23,RCMF,103,74,54,73,1,0,1,1,100,0.13,49,45,92,1,0,0,0,0,0,2,1,50,17,8,47,1,1,100,6,6,5,83,7,2,29
Real Madrid - Las Palmas 2:0,Spain. LaLiga,9/27/23,"DMF, LCMF, RCMF",96,78,58,74,0,0,3,0,0,0.04,61,54,89,5,1,20,1,0,0,1,0,0,11,4,36,0,0,0,2,7,0,0,4,1,25
Atlético Madrid - Real Madrid 3:1,Spain. LaLiga,9/24/23,RDMF,40,43,34,79,0,0,2,0,0,0.36,31,27,87,2,2,100,3,0,0,0,0,0,8,6,75,2,2,100,4,4,0,0,8,3,38
Real Madrid - Union Berlin 1:0,Europe. UEFA Champions League,9/20/23,DMF,67,94,83,88,0,0,2,0,0,0.01,83,79,95,4,3,75,2,0,0,0,0,0,5,3,60,2,1,50,1,4,0,0,7,4,57
Real Madrid - Real Sociedad 2:1,Spain. LaLiga,9/17/23,DMF,64,42,33,79,0,0,1,0,0,0,32,31,97,1,1,100,1,1,100,0,0,0,6,2,33,0,0,0,3,3,0,0,1,0,0
Real Madrid - Getafe 2:1,Spain. LaLiga,9/2/23,DMF,85,95,78,82,0,0,0,0,0,0,66,61,92,1,1,100,1,0,0,1,0,0,19,12,63,8,6,75,7,5,1,20,14,4,29
Celta de Vigo - Real Madrid 0:1,Spain. LaLiga,8/25/23,DMF,67,84,72,86,0,0,0,0,0,0,64,62,97,0,0,0,2,1,50,2,2,100,13,7,54,2,1,50,4,6,1,17,10,5,50
Almería - Real Madrid 1:3,Spain. LaLiga,8/19/23,"DMF, LCMF",106,103,85,83,0,0,2,1,50,0.06,72,69,96,2,2,100,1,0,0,2,2,100,22,14,64,5,4,80,3,5,1,20,12,6,50
Athletic Bilbao - Real Madrid 0:2,Spain. LaLiga,8/12/23,"DMF, RCMF",99,72,65,90,0,0,0,0,0,0,59,56,95,1,1,100,0,0,0,0,0,0,9,7,78,2,2,100,7,5,2,40,10,4,40
Real Madrid - Athletic Bilbao 1:1,Spain. LaLiga,6/4/23,RCMF3,38,24,15,63,0,0,0,0,0,0,17,13,76,3,0,0,1,0,0,1,0,0,6,2,33,0,0,0,3,4,1,25,2,2,100
Sevilla - Real Madrid 1:2,Spain. LaLiga,5/27/23,DMF,100,101,84,83,0,0,0,0,0,0,79,75,95,2,2,100,0,0,0,2,1,50,17,8,47,3,2,67,10,8,5,63,13,2,15
Real Madrid - Rayo Vallecano 2:1,Spain. LaLiga,5/24/23,DMF,11,14,9,64,0,0,1,0,0,0.04,12,9,75,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,50,0,0,0
Valencia - Real Madrid 1:0,Spain. LaLiga,5/21/23,"DMF, RDMF",86,93,75,81,0,0,0,0,0,0,65,59,91,4,3,75,0,0,0,5,4,80,21,14,67,3,2,67,5,8,3,38,8,3,38
Manchester City - Real Madrid 4:0,Europe. UEFA Champions League,5/17/23,RDMF,14,15,12,80,0,0,0,0,0,0,14,11,79,1,1,100,1,0,0,0,0,0,1,1,100,0,0,0,1,3,0,0,1,1,100
Real Madrid - Getafe 1:0,Spain. LaLiga,5/13/23,DMF,96,116,106,91,0,0,2,0,0,0.06,88,86,98,1,1,100,0,0,0,2,2,100,22,17,77,5,4,80,4,4,1,25,7,2,29
Real Madrid - Manchester City 1:1,Europe. UEFA Champions League,5/9/23,DMF,10,12,9,75,0,0,1,1,100,0.04,9,8,89,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0,0
Real Sociedad - Real Madrid 2:0,Spain. LaLiga,5/2/23,"DMF, RCMF",98,61,47,77,0,0,1,1,100,0.01,46,41,89,1,0,0,0,0,0,0,0,0,9,5,56,2,0,0,6,5,3,60,8,1,13
Real Madrid - Almería 4:2,Spain. LaLiga,4/29/23,DMF,95,92,78,85,0,0,0,0,0,0,75,71,95,1,0,0,0,0,0,1,0,0,8,4,50,0,0,0,2,3,1,33,8,4,50
Girona - Real Madrid 4:2,Spain. LaLiga,4/25/23,RCMF,30,38,29,76,0,0,0,0,0,0,29,27,93,1,1,100,1,0,0,0,0,0,5,2,40,1,0,0,0,2,0,0,1,0,0
