match,competition,date,position,minutes_played,total_actions,total_actions_successful,total_actions_percent,goals,assists,shots,shots_on_target,shots_percent,xG,passes,passes_accurate,passes_percent,long_passes,long_passes_accurate,long_passes_percent,crosses,crosses_accurate,crosses_percent,dribbles,dribbles_successful,dribbles_percent,duels,duels_won,duels_percent,aerial_duels,aerial_duels_won,aerial_duels_percent,interceptions,losses,losses_own_half,losses_percent,recoveries,recoveries_opp_half,recoveries_percent
Real Madrid - Napoli 4:2,Europe. UEFA Champions League,11/29/23,"CF, LW",102,112,84,75,1,1,2,2,100,0.36,72,65,90,3,2,67,6,2,33,9,6,67,35,17,49,1,1,100,1,9,3,33,4,3,75
Sporting Braga - Real Madrid 1:2,Europe. UEFA Champions League,10/24/23,"LW, CF",89,71,47,66,1,0,3,2,67,0.2,50,41,82,4,4,100,3,1,33,0,0,0,8,4,50,0,0,0,3,11,3,27,5,4,80
Napoli - Real Madrid 2:3,Europe. UEFA Champions League,10/3/23,"AMF, LW",96,94,62,66,1,1,4,2,50,1.27,54,50,93,1,1,100,0,0,0,4,1,25,17,7,41,1,1,100,5,12,3,25,6,2,33
Real Madrid - Union Berlin 1:0,Europe. UEFA Champions League,9/20/23,AMF,97,104,70,67,1,0,3,1,33,0.9,68,59,87,6,4,67,2,1,50,5,3,60,20,10,50,2,1,50,1,15,3,20,4,3,75
Borussia Dortmund - Borussia M'gladbach 5:2,Germany. Bundesliga,5/13/23,"LDMF, RDMF",97,106,69,65,1,0,5,2,40,1.29,56,51,91,9,7,78,2,1,50,9,5,56,30,13,43,2,1,50,3,10,2,20,9,2,22
Borussia Dortmund - Wolfsburg 6:0,Germany. Bundesliga,5/7/23,RDMF,92,96,67,70,2,0,4,2,50,0.44,60,53,88,6,4,67,3,1,33,5,2,40,17,8,47,4,3,75,5,11,3,27,5,2,40
Bochum - Borussia Dortmund 1:1,Germany. Bundesliga,4/28/23,"AMF, RCMF3",100,81,47,58,0,0,4,2,50,0.4,39,29,74,3,2,67,5,1,20,11,9,82,29,13,45,3,0,0,4,14,5,36,7,4,57
Borussia Dortmund - Eintracht Frankfurt 4:0,Germany. Bundesliga,4/22/23,RDMF,79,63,38,60,1,0,3,2,67,0.29,35,28,80,5,5,100,1,0,0,7,2,29,18,6,33,0,0,0,6,8,4,50,8,5,63
Stuttgart - Borussia Dortmund 3:3,Germany. Bundesliga,4/15/23,RCMF,101,111,75,68,0,0,1,0,0,0.29,74,63,85,8,4,50,1,1,100,3,1,33,19,10,53,3,1,33,7,18,4,22,12,8,67
Borussia Dortmund - Union Berlin 2:1,Germany. Bundesliga,4/8/23,RCMF3,98,114,73,64,0,0,2,0,0,0.02,71,62,87,4,2,50,2,1,50,4,2,50,24,9,38,3,1,33,4,17,4,24,6,5,83
Bayern München - Borussia Dortmund 4:2,Germany. Bundesliga,4/1/23,"AMF, RCMF3",97,99,58,59,0,0,0,0,0,0,52,46,88,4,3,75,0,0,0,5,3,60,23,9,39,2,0,0,1,9,3,33,7,6,86
Borussia Dortmund - Köln 6:1,Germany. Bundesliga,3/18/23,RCMF3,92,88,62,70,0,0,0,0,0,0,58,54,93,6,5,83,2,2,100,6,2,33,23,7,30,1,1,100,1,8,2,25,7,4,57
Schalke 04 - Borussia Dortmund 2:2,Germany. Bundesliga,3/11/23,"LCMF3, RWF",94,105,75,71,0,0,2,1,50,0.07,66,55,83,6,2,33,0,0,0,6,4,67,29,16,55,3,2,67,0,21,3,14,4,2,50
Chelsea - Borussia Dortmund 2:0,Europe. UEFA Champions League,3/7/23,RCMF,101,92,53,58,0,0,3,0,0,0.7,39,30,77,5,4,80,2,0,0,11,4,36,43,23,53,9,6,67,0,17,4,24,11,5,45
Borussia Dortmund - RB Leipzig 2:1,Germany. Bundesliga,3/3/23,RCMF,98,62,31,50,0,1,1,0,0,0.14,25,19,76,4,3,75,0,0,0,1,0,0,23,12,52,3,1,33,2,8,4,50,2,0,0
Hoffenheim - Borussia Dortmund 0:1,Germany. Bundesliga,2/25/23,"AMF, RCMF, RW",102,92,59,64,0,0,3,2,67,0.25,40,34,85,5,5,100,1,1,100,11,8,73,29,16,55,7,2,29,3,11,4,36,5,3,60
Borussia Dortmund - Hertha BSC 4:1,Germany. Bundesliga,2/19/23,LCMF,30,25,12,48,0,0,1,0,0,0.16,7,5,71,0,0,0,0,0,0,3,3,100,6,5,83,0,0,0,6,3,0,0,5,3,60
Borussia Dortmund - Chelsea 1:0,Europe. UEFA Champions League,2/15/23,RCMF,95,83,48,58,0,0,1,0,0,0,45,37,82,4,1,25,0,0,0,4,2,50,20,9,45,5,2,40,7,16,4,25,4,2,50
Werder Bremen - Borussia Dortmund 0:2,Germany. Bundesliga,2/11/23,"AMF, LAMF, RCMF",100,93,56,60,0,0,4,2,50,0.59,43,36,84,3,2,67,2,1,50,14,9,64,29,14,48,1,0,0,5,10,1,10,4,3,75
Borussia Dortmund - Freiburg 5:1,Germany. Bundesliga,2/4/23,RCMF3,72,83,53,64,0,1,1,0,0,0.11,54,51,94,6,4,67,1,0,0,6,1,17,13,2,15,1,0,0,2,7,1,14,3,3,100
Bayer Leverkusen - Borussia Dortmund 0:2,Germany. Bundesliga,1/29/23,"RCMF, RCMF3",95,94,47,50,0,0,1,0,0,0.15,43,34,79,5,2,40,0,0,0,6,3,50,34,12,35,7,3,43,3,16,2,13,7,4,57
Borussia Dortmund - Augsburg 4:3,Germany. Bundesliga,1/22/23,"LCMF, RCMF",99,127,84,66,1,1,2,1,50,0.18,69,57,83,6,4,67,2,0,0,18,11,61,41,21,51,5,1,20,6,18,6,33,7,2,29
Borussia M'gladbach - Borussia Dortmund 4:2,Germany. Bundesliga,11/11/22,RDMF,97,109,82,75,0,1,0,0,0,0,70,65,93,11,10,91,0,0,0,1,0,0,31,16,52,3,2,67,3,13,3,23,10,7,70
Wolfsburg - Borussia Dortmund 2:0,Germany. Bundesliga,11/8/22,"LCMF, RDMF",98,109,78,72,0,0,2,1,50,0.05,78,62,79,4,3,75,3,1,33,6,4,67,19,12,63,3,2,67,11,19,4,21,11,7,64
Borussia Dortmund - Bochum 3:0,Germany. Bundesliga,11/5/22,RDMF,96,73,38,52,0,0,0,0,0,0,35,29,83,3,2,67,0,0,0,3,1,33,25,8,32,5,2,40,6,18,10,56,4,1,25
Eintracht Frankfurt - Borussia Dortmund 1:2,Germany. Bundesliga,10/29/22,"AMF, RCMF, RDMF",97,79,38,48,1,0,2,1,50,0.14,31,21,68,6,4,67,0,0,0,4,3,75,32,15,47,3,2,67,8,18,5,28,6,3,50
Borussia Dortmund - Manchester City 0:0,Europe. UEFA Champions League,10/25/22,RCMF3,94,64,41,64,0,0,0,0,0,0,33,32,97,1,1,100,0,0,0,3,1,33,18,7,39,2,1,50,7,4,3,75,7,0,0
Borussia Dortmund - Stuttgart 5:0,Germany. Bundesliga,10/22/22,RCMF,92,119,88,74,2,0,4,2,50,0.79,73,64,88,5,3,60,1,0,0,8,3,38,34,22,65,4,3,75,6,15,6,40,12,9,75
Union Berlin - Borussia Dortmund 2:0,Germany. Bundesliga,10/16/22,"AMF, RDMF",95,106,65,61,0,0,2,1,50,0.17,62,50,81,5,3,60,2,0,0,6,4,67,26,10,38,3,0,0,1,14,2,14,6,4,67
Borussia Dortmund - Sevilla 1:1,Europe. UEFA Champions League,10/11/22,RCMF3,94,103,55,53,1,0,2,1,50,0.25,58,45,78,6,1,17,3,1,33,4,2,50,25,8,32,2,1,50,4,20,4,20,3,2,67
Borussia Dortmund - Bayern München 2:2,Germany. Bundesliga,10/8/22,"RCMF, RCMF3",98,86,44,51,0,0,0,0,0,0,43,33,77,2,2,100,1,0,0,7,2,29,26,11,42,4,2,50,6,20,8,40,6,3,50
Sevilla - Borussia Dortmund 1:4,Europe. UEFA Champions League,10/5/22,RCMF3,97,83,56,67,1,1,2,1,50,0.1,47,40,85,3,2,67,0,0,0,4,3,75,23,13,57,3,0,0,6,12,4,33,7,1,14
Köln - Borussia Dortmund 3:2,Germany. Bundesliga,10/1/22,"AMF, LDMF",96,68,49,72,0,0,2,1,50,0.16,38,33,87,6,3,50,1,1,100,2,1,50,22,12,55,3,1,33,0,9,2,22,2,0,0
