match,competition,date,position,minutes_played,total_actions,total_actions_successful,total_actions_percent,goals,assists,shots,shots_on_target,shots_percent,xG,passes,passes_accurate,passes_percent,long_passes,long_passes_accurate,long_passes_percent,crosses,crosses_accurate,crosses_percent,dribbles,dribbles_successful,dribbles_percent,duels,duels_won,duels_percent,aerial_duels,aerial_duels_won,aerial_duels_percent,interceptions,losses,losses_own_half,losses_percent,recoveries,recoveries_opp_half,recoveries_percent
Real Madrid - Valencia 5:1,Spain. LaLiga,11/11/23,RCMF,100,90,66,73,0,0,1,0,0,0.01,55,48,87,5,3,60,0,0,0,7,6,86,23,15,65,1,0,0,2,13,6,46,4,2,50
Real Madrid - Sporting Braga 3:0,Europe. UEFA Champions League,11/8/23,RCMF,96,90,55,61,0,0,1,0,0,0.01,44,38,86,3,2,67,0,0,0,8,3,38,32,14,44,2,2,100,4,11,1,9,9,3,33
Real Madrid - Rayo Vallecano 0:0,Spain. LaLiga,11/5/23,"LB, LCMF",88,85,56,66,0,0,1,0,0,0.35,49,43,88,3,2,67,1,1,100,3,1,33,24,12,50,6,2,33,2,7,2,29,11,5,45
Barcelona - Real Madrid 1:2,Spain. LaLiga,10/28/23,LB,45,49,32,65,0,0,0,0,0,0,27,27,100,1,1,100,0,0,0,5,3,60,13,4,31,0,0,0,4,3,1,33,4,3,75
Sporting Braga - Real Madrid 1:2,Europe. UEFA Champions League,10/24/23,"LCMF, LW",94,112,83,74,0,0,2,1,50,0.04,69,65,94,5,3,60,0,0,0,2,1,50,26,16,62,2,1,50,10,5,2,40,10,3,30
Sevilla - Real Madrid 1:1,Spain. LaLiga,10/21/23,DMF,32,20,14,70,0,0,0,0,0,0,13,11,85,0,0,0,0,0,0,0,0,0,4,2,50,0,0,0,3,3,2,67,2,1,50
Real Madrid - Osasuna 4:0,Spain. LaLiga,10/7/23,LCMF,67,80,61,76,0,0,1,0,0,0.01,60,54,90,1,0,0,0,0,0,3,1,33,12,4,33,0,0,0,3,9,2,22,3,1,33
Napoli - Real Madrid 2:3,Europe. UEFA Champions League,10/3/23,LB,65,58,44,76,0,0,0,0,0,0,36,35,97,0,0,0,0,0,0,4,3,75,11,6,55,0,0,0,3,3,1,33,5,2,40
Girona - Real Madrid 0:3,Spain. LaLiga,9/30/23,LB,103,93,67,72,0,0,1,0,0,0.01,52,50,96,1,1,100,1,0,0,5,3,60,30,16,53,0,0,0,7,10,6,60,9,2,22
Real Madrid - Las Palmas 2:0,Spain. LaLiga,9/27/23,"LCMF3, LW",79,76,52,68,0,0,0,0,0,0,48,40,83,5,3,60,1,0,0,4,2,50,19,9,47,1,1,100,4,12,6,50,6,3,50
Atlético Madrid - Real Madrid 3:1,Spain. LaLiga,9/24/23,"DMF, LCMF3",60,77,53,69,0,0,1,0,0,0.01,52,46,88,3,3,100,0,0,0,2,1,50,10,5,50,1,0,0,4,9,3,33,4,3,75
Real Madrid - Union Berlin 1:0,Europe. UEFA Champions League,9/20/23,LCMF3,67,102,86,84,0,0,1,0,0,0.02,82,77,94,2,2,100,0,0,0,2,0,0,12,7,58,0,0,0,3,11,3,27,13,10,77
Real Madrid - Real Sociedad 2:1,Spain. LaLiga,9/17/23,LCMF3,33,18,12,67,0,0,0,0,0,0,13,11,85,0,0,0,0,0,0,0,0,0,3,1,33,0,0,0,1,1,1,100,1,0,0
Real Madrid - Getafe 2:1,Spain. LaLiga,9/2/23,LCMF3,50,59,45,76,0,0,1,1,100,0.02,45,41,91,5,4,80,1,1,100,0,0,0,5,1,20,1,1,100,4,6,1,17,8,6,75
Celta de Vigo - Real Madrid 0:1,Spain. LaLiga,8/25/23,LCMF3,67,92,67,73,0,0,0,0,0,0,54,50,93,3,1,33,1,1,100,6,6,100,24,14,58,2,1,50,1,4,1,25,6,4,67
Almería - Real Madrid 1:3,Spain. LaLiga,8/19/23,LW,28,20,13,65,0,0,0,0,0,0,11,10,91,0,0,0,0,0,0,0,0,0,7,3,43,1,0,0,0,3,2,67,0,0,0
Athletic Bilbao - Real Madrid 0:2,Spain. LaLiga,8/12/23,LCMF3,74,98,63,64,0,0,0,0,0,0,54,49,91,5,3,60,1,1,100,4,3,75,26,13,50,0,0,0,3,7,4,57,7,3,43
Real Madrid - Athletic Bilbao 1:1,Spain. LaLiga,6/4/23,RCMF3,57,67,50,75,0,0,0,0,0,0,48,44,92,1,1,100,0,0,0,2,1,50,12,4,33,0,0,0,2,4,0,0,6,3,50
