match,competition,date,position,minutes_played,total_actions,total_actions_successful,total _actions_percent,goals,assists,shots,shots_on_target,shots_percents,xG,passes,passes_accurate,passes_percent,long_passes,long_passes_accurate,long_passes_percent,crosses,crosses_accurate,crosses_percent,dribbles,dribbles_successful,dribbles_percent,duels,duels_won,duels_percent,aerial_duels,aerial_duels_won,aerial_duels_percent,interceptions,losses,losses_own_half,losses_percent,recoveries,recoveries_opp_half,recoveries_percent
Real Madrid - Granada 2:7,Spain. LaLiga,6/4/23,LCMF3,57,79,56,71,0,0,0,0,0,0,54,49,91,3,3,100,2,0,0,3,1,33,15,5,33,1,0,0,2,10,4,40,5,3,60
Sevilla - Real Madrid 1:2,Spain. LaLiga,5/27/23,"LWF, RCMF3",100,109,82,75,0,0,0,0,0,0,81,71,88,6,3,50,1,0,0,8,5,63,22,11,50,0,0,0,3,13,5,38,4,1,25
Real Madrid - Rayo Vallecano 2:1,Spain. LaLiga,5/24/23,RCMF,31,46,37,80,0,1,1,1,100,0.18,34,31,91,1,1,100,0,0,0,4,1,25,9,4,44,1,0,0,2,3,1,33,2,0,0
Valencia - Real Madrid 1:0,Spain. LaLiga,5/21/23,"LCMF3, RCMF3",64,78,58,74,0,0,0,0,0,0,55,48,87,3,2,67,0,0,0,1,1,100,19,10,53,0,0,0,0,10,6,60,8,5,63
Manchester City - Real Madrid 4:0,Europe. UEFA Champions League,5/17/23,AMF,14,18,13,72,0,0,1,1,100,0.16,12,11,92,0,0,0,0,0,0,1,0,0,2,1,50,0,0,0,1,1,1,100,1,0,0
Real Madrid - Getafe 1:0,Spain. LaLiga,5/13/23,RCMF3,62,55,44,80,0,0,2,0,0,0.06,44,39,89,4,1,25,0,0,0,1,0,0,6,3,50,1,0,0,1,7,3,43,6,4,67
Real Sociedad - Real Madrid 2:0,Spain. LaLiga,5/2/23,"LCMF, RCMF3",98,70,45,64,0,0,0,0,0,0,45,40,89,3,2,67,0,0,0,1,0,0,15,4,27,3,0,0,0,4,3,75,3,1,33
Real Madrid - Almería 4:2,Spain. LaLiga,4/29/23,RCMF3,95,113,82,73,0,1,2,1,50,0.09,79,71,90,5,3,60,4,0,0,5,2,40,21,9,43,0,0,0,1,7,1,14,10,7,70
Real Madrid - Celta de Vigo 2:0,Spain. LaLiga,4/22/23,LCMF3,82,113,89,79,0,0,1,0,0,0.01,86,82,95,6,6,100,0,0,0,1,1,100,13,7,54,1,0,0,5,7,3,43,7,4,57
Chelsea - Real Madrid 0:2,Europe. UEFA Champions League,4/18/23,LCMF3,17,24,18,75,0,0,1,1,100,0.12,14,14,100,0,0,0,0,0,0,1,1,100,5,2,40,0,0,0,1,1,1,100,1,1,100
Cádiz - Real Madrid 0:2,Spain. LaLiga,4/15/23,LCMF3,95,123,101,82,0,0,4,1,25,0.13,93,88,95,3,3,100,2,0,0,3,1,33,17,9,53,0,0,0,4,9,2,22,11,5,45
Real Madrid - Chelsea 2:0,Europe. UEFA Champions League,4/12/23,LCMF3,15,16,10,63,0,0,0,0,0,0,8,8,100,0,0,0,0,0,0,1,1,100,3,2,67,0,0,0,2,0,0,0,1,1,100
Real Madrid - Villarreal 2:3,Spain. LaLiga,4/8/23,LCMF3,78,72,47,65,0,0,0,0,0,0,42,35,83,2,0,0,2,0,0,1,1,100,19,11,58,0,0,0,3,6,2,33,5,2,40
Real Madrid - Real Valladolid 6:0,Spain. LaLiga,4/2/23,AMF,25,27,18,67,0,0,0,0,0,0,18,17,94,1,1,100,0,0,0,3,0,0,4,0,0,0,0,0,0,2,0,0,1,1,100
Barcelona - Real Madrid 2:1,Spain. LaLiga,3/19/23,LDMF,21,27,19,70,0,0,0,0,0,0,17,15,88,2,1,50,0,0,0,0,0,0,6,4,67,0,0,0,4,2,1,50,6,0,0
Real Madrid - Liverpool 1:0,Europe. UEFA Champions League,3/15/23,RCMF3,13,13,6,46,0,0,0,0,0,0,6,5,83,0,0,0,0,0,0,2,0,0,4,1,25,0,0,0,1,1,0,0,1,1,100
Real Madrid - Espanyol 3:1,Spain. LaLiga,3/11/23,LCMF3,21,31,16,52,0,0,0,0,0,0,16,13,81,1,1,100,0,0,0,4,1,25,10,3,30,0,0,0,1,4,2,50,2,1,50
Real Betis - Real Madrid 0:0,Spain. LaLiga,3/5/23,"LCMF, LCMF3",32,48,33,69,0,0,1,0,0,0.16,33,26,79,1,0,0,0,0,0,2,2,100,9,5,56,0,0,0,4,7,1,14,5,1,20
Real Madrid - Atlético Madrid 1:1,Spain. LaLiga,2/25/23,LCMF3,64,74,60,81,0,0,1,0,0,0,56,51,91,2,0,0,0,0,0,5,3,60,15,8,53,0,0,0,3,7,4,57,7,4,57
Liverpool - Real Madrid 2:5,Europe. UEFA Champions League,2/21/23,LCMF3,13,23,19,83,0,0,0,0,0,0,16,15,94,1,0,0,0,0,0,0,0,0,5,4,80,0,0,0,1,2,1,50,3,1,33
Osasuna - Real Madrid 0:2,Spain. LaLiga,2/18/23,LCMF3,68,99,63,64,0,0,0,0,0,0,67,60,90,3,2,67,0,0,0,1,0,0,12,3,25,2,1,50,3,9,5,56,4,3,75
Real Madrid - Elche 4:0,Spain. LaLiga,2/15/23,LCMF3,70,120,103,86,0,0,0,0,0,0,96,93,97,7,7,100,0,0,0,0,0,0,20,10,50,1,0,0,1,8,4,50,8,5,63
Mallorca - Real Madrid 1:0,Spain. LaLiga,2/5/23,LCMF3,71,88,68,77,0,0,0,0,0,0,72,64,89,3,1,33,1,0,0,1,1,100,9,4,44,0,0,0,4,9,2,22,5,2,40
Real Madrid - Valencia 2:0,Spain. LaLiga,2/2/23,LCMF3,100,137,116,85,0,0,0,0,0,0,102,96,94,5,5,100,0,0,0,5,4,80,27,18,67,1,1,100,4,9,1,11,7,6,86
Real Madrid - Real Sociedad 0:0,Spain. LaLiga,1/29/23,LCMF3,78,118,91,77,0,0,3,1,33,0.16,79,74,94,1,1,100,2,1,50,8,6,75,19,16,84,0,0,0,5,6,1,17,10,6,60
Athletic Bilbao - Real Madrid 0:2,Spain. LaLiga,1/22/23,LCMF3,86,94,61,65,0,0,0,0,0,0,58,53,91,7,7,100,0,0,0,1,0,0,18,8,44,1,0,0,10,10,8,80,9,5,56
Real Valladolid - Real Madrid 0:2,Spain. LaLiga,12/30/22,LCMF3,70,72,51,71,0,0,0,0,0,0,45,39,87,3,3,100,1,0,0,3,1,33,16,11,69,0,0,0,3,7,2,29,5,2,40
Real Madrid - Cádiz 2:1,Spain. LaLiga,11/10/22,LCMF,12,21,9,43,0,0,1,0,0,0.03,10,8,80,1,0,0,0,0,0,1,1,100,5,1,20,0,0,0,1,2,1,50,3,2,67
Real Madrid - Celtic 5:1,Europe. UEFA Champions League,11/2/22,LCMF,24,30,25,83,0,0,0,0,0,0,23,23,100,1,1,100,0,0,0,1,1,100,4,2,50,0,0,0,1,2,0,0,2,1,50
Real Madrid - Osasuna 1:1,Spain. LaLiga,10/2/22,RCMF3,55,41,33,80,0,0,0,0,0,0,34,32,94,0,0,0,1,0,0,0,0,0,5,1,20,0,0,0,3,4,1,25,2,0,0
Atlético Madrid - Real Madrid 1:2,Spain. LaLiga,9/18/22,LCMF,9,12,7,58,0,0,0,0,0,0,4,4,100,0,0,0,0,0,0,1,0,0,7,3,43,0,0,0,1,1,1,100,1,0,0
Real Madrid - RB Leipzig 2:0,Europe. UEFA Champions League,9/14/22,LW,9,7,6,86,0,0,0,0,0,0,4,4,100,1,1,100,0,0,0,1,1,100,2,2,100,0,0,0,0,1,0,0,0,0,0
Real Madrid - Mallorca 4:1,Spain. LaLiga,9/11/22,LCMF3,73,106,84,79,0,0,2,1,50,0.07,75,69,92,1,1,100,0,0,0,5,4,80,23,14,61,0,0,0,1,8,1,13,9,6,67
Real Madrid - Real Betis 2:1,Spain. LaLiga,9/3/22,RCMF3,16,25,15,60,0,0,0,0,0,0,13,13,100,0,0,0,0,0,0,0,0,0,5,2,40,0,0,0,3,0,0,0,5,4,80
Espanyol - Real Madrid 1:3,Spain. LaLiga,8/28/22,RCMF3,22,9,8,89,0,0,0,0,0,0,5,5,100,0,0,0,0,0,0,2,2,100,4,3,75,1,0,0,0,3,2,67,2,1,50
Celta de Vigo - Real Madrid 1:4,Spain. LaLiga,8/20/22,LCMF3,18,15,11,73,0,0,0,0,0,0,12,11,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,0,0
